LON,LAT,DHW2020,CORAL_LOSS_BLEACH2020,CORAL_COVER2019,CORAL_COVER2020
143.3243,-10.7568,10.2499997708946,-11.584220625,15.32566875,8.56617875
143.412,-10.7762,9.8199997805059,-14.884509375,19.18546875,9.686096875
143.3534,-10.8058,10.0999997742474,-13.790085,18.0434025,8.947825
143.3357,-10.8378,10.2799997702241,-11.393059375,13.77358625,6.29511375
143.4596,-10.9405,9.67999978363514,-14.45396375,20.1984025,10.562924375
143.2982,-10.8391,10.1499997731298,-11.682614375,12.73513875,5.148656875
143.4038,-10.849,9.85999977961183,-13.08511125,16.02345375,8.00902625
143.239,-10.853,10.0799997746944,-10.87740125,13.7249475,7.44981125
143.2402,-10.895,10.0799997746944,-12.50033125,15.144045,7.285718125
143.21,-10.8976,10.0799997746944,-11.58393875,13.87493,6.65851875
143.1778,-10.9066,9.9899997767061,-13.43018375,16.280705,7.959448125
143.2898,-10.9039,10.0099997762591,-11.314570625,13.68832875,7.137463125
143.3829,-10.9055,10.2899997700006,-13.37070375,16.372050625,7.73868125
143.3141,-10.9151,10.1799997724593,-10.4214525,13.415251875,7.08914875
143.2959,-10.9318,10.0099997762591,-12.082628125,14.67081125,7.3139025
143.2183,-10.9325,9.95999977737665,-13.14164875,15.659510625,7.8283375
143.2423,-10.9469,9.95999977737665,-12.719798125,14.303903125,6.3533
143.1571,-10.9503,9.67999978363514,-13.983774375,15.4585425,6.576184375
143.1301,-10.952,9.66999978385866,-12.228904375,14.583860625,6.957701875
143.3598,-10.9392,10.2899997700006,-15.29584625,18.208969375,7.51525
143.3997,-10.9637,10.2499997708946,-13.219078125,15.870790625,7.0631925
143.4256,-10.9676,10.049999775365,-14.927234375,17.5473275,6.99102125
143.1255,-10.9866,9.66999978385866,-11.990360625,15.216446875,8.137918125
143.5107,-10.9059,9.55999978631735,-16.721261875,20.42180125,8.44175
143.9645,-10.6879,2.83999993652105,0,33.519855,40.695464375
143.7871,-10.7029,5.37999987974763,-17.229108125,42.25024875,30.656273125
143.9638,-10.7097,3.00999993272126,-10.632689375,36.1413325,32.629121875
143.9587,-10.725,3.00999993272126,-8.81191875,34.22638,32.591613125
143.9796,-10.7232,3.00999993272126,-6.100845,28.884308125,29.6647525
143.521,-10.6933,8.75999980419874,-26.079223125,37.157100625,16.87696125
143.9648,-10.7344,3.00999993272126,-7.965601875,30.5034525,30.07952625
143.9733,-10.7404,3.00999993272126,-8.160654375,31.7784,30.675129375
143.9823,-10.7554,3.47999992221594,-10.015660625,31.3635575,28.475841875
143.6065,-10.742,7.65999982878566,-20.408346875,37.513315625,23.087361875
143.7443,-10.7423,6.06999986432493,-23.069809375,46.74227375,29.150864375
143.5057,-10.7697,9.36999979056418,-18.73386875,28.499933125,16.36902
143.6909,-10.7893,7.20999983884394,-25.67278125,39.336155,19.571159375
143.7166,-10.7703,6.18999986164272,-21.093265,47.145160625,31.7719175
143.8438,-10.7667,4.90999989025295,-9.990916875,39.632019375,35.804109375
143.9755,-10.7782,3.47999992221594,-11.16176,30.541565,25.8511175
143.9853,-10.7857,3.47999992221594,-8.72162625,29.60118125,28.310325
143.9898,-10.7943,3.47999992221594,-6.691458125,26.752653125,27.68988875
144.0145,-10.9508,4.29999990388751,-8.70501125,21.356275625,19.046759375
143.5114,-10.9445,9.55999978631735,-15.97566625,19.305756875,7.789419375
143.9988,-10.8356,3.54999992065132,-8.92955,32.190470625,30.508435
144.0089,-10.8301,4.25999990478158,-8.68689375,23.846989375,21.881375
142.5771,-10.7299,7.42999983392656,-14.130705625,23.37397375,15.61052875
142.5796,-10.7988,7.65999982878566,-14.55791125,23.717185625,15.215965625
142.5527,-10.832,7.98999982140958,-17.622686875,24.317300625,13.4951025
142.6044,-10.7572,8.039999820292,-11.762270625,18.53093875,12.51429375
143.3795,-10.8402,10.0999997742474,-13.8967425,17.380764375,9.4902475
143.4462,-10.8976,10.0199997760355,-12.542029375,16.244066875,8.18753625
143.5538,-10.9306,9.37999979034066,-19.766890625,26.720880625,13.238495625
143.6294,-10.9761,8.96999979950488,-18.516555,29.440365625,16.80728125
143.7125,-10.9422,7.30999983660877,-23.2906875,37.063068125,19.3485275
143.7672,-11.0129,7.59999983012676,-21.61231375,37.764986875,22.406391875
143.7784,-10.984,7.25999983772635,-18.17472125,33.561655,21.9776175
143.956,-10.7417,3.00999993272126,-6.762566875,22.57279625,21.778549375
144.0019,-10.9351,4.25999990478158,-8.079723125,20.861374375,19.655268125
144.034,-10.9125,4.25999990478158,-7.311745625,21.1067175,20.422058125
142.739,-10.8107,8.63999980688095,-10.678249375,15.809071875,10.19738625
142.746,-10.9933,8.41999981179833,-13.37424375,23.106460625,17.12055875
143.9531,-10.6852,2.83999993652105,0,36.591158125,43.260164375
143.9921,-10.86,3.92999991215765,-11.485783125,27.626703125,22.574115
143.6588,-10.8564,7.79999982565641,-20.531180625,31.9698,17.492898125
143.7112,-10.8594,6.8299998473376,-23.513616875,40.778681875,23.269366875
143.7934,-10.8696,6.28999985940754,-15.194071875,39.6012075,30.937279375
143.47,-10.8051,9.72999978251755,-15.61812625,19.146525625,8.2334
143.5866,-10.8516,9.19999979436398,-20.163411875,29.8975075,15.70120625
144.0141,-10.8874,4.59999989718199,-6.479263125,19.99246125,20.097475625
143.5524,-10.8957,9.19999979436398,-21.298565625,29.955866875,14.760616875
144.0181,-10.9267,4.25999990478158,-9.73223375,23.87665,21.211899375
143.5728,-10.9116,9.37999979034066,-20.7776225,26.377431875,11.44012375
144.0152,-10.9639,4.29999990388751,-8.09487875,22.745390625,21.445803125
144.0322,-10.9659,4.29999990388751,-8.7514375,21.869848125,19.469114375
143.4672,-10.8819,9.74999978207052,-15.20371625,19.578585625,9.05392875
144.0352,-10.9968,4.29999990388751,-6.060508125,17.56954875,17.55701375
144.0181,-10.9861,4.29999990388751,-10.805645,23.662671875,19.389800625
144.0129,-11.0078,4.74999989382923,-7.899950625,21.376909375,20.153285625
144.0131,-11.0179,4.74999989382923,-9.83136,20.627129375,16.836954375
143.995,-11.0178,4.62999989651144,-9.775055,29.828229375,26.920078125
143.3649,-10.9904,10.2499997708946,-14.1746125,18.675730625,9.489170625
143.2949,-10.987,9.86999977938831,-13.018138125,17.307055,9.80343
143.6632,-10.9042,7.84999982453883,-17.6576525,29.881395625,18.353194375
143.7573,-10.8997,6.28999985940754,-17.650648125,42.840864375,31.510006875
143.5341,-10.9136,9.55999978631735,-15.208125,21.102801875,10.61226875
143.1012,-11.1761,10.2999997697771,-10.74204375,13.092234375,6.075748125
142.9925,-11.0067,9.24999979324639,-11.60115375,14.44319375,7.457758125
142.7555,-11.025,8.6699998062104,-17.567444375,22.987171875,12.727369375
142.7832,-11.0704,8.6099998075515,-25.004658125,32.094543125,16.037571875
142.837,-11.1587,8.36999981291592,-25.765476875,32.227255,14.889985625
142.8113,-11.1855,8.36999981291592,-26.26506625,33.221821875,16.35111375
142.8123,-11.1943,8.36999981291592,-24.112044375,32.58093,17.364793125
142.824,-11.2317,8.1499998178333,-25.978500625,34.771669375,17.49846
142.819,-11.2489,8.1499998178333,-24.6156275,32.6123225,16.383099375
142.8725,-11.2573,8.29999981448054,-20.00422125,29.29494625,17.600408125
142.9291,-11.25,9.30999979190528,-19.909539375,23.96308625,10.335413125
142.8287,-11.2902,8.29999981448054,-25.46105125,36.323899375,20.1105475
142.8309,-11.2939,8.29999981448054,-26.478735625,34.711826875,18.133758125
142.8655,-11.3725,8.69999980553985,-24.502969375,28.6217875,13.054266875
142.9654,-11.3848,9.8199997805059,-17.2454575,21.94306875,10.237948125
142.9353,-11.4349,9.22999979369342,-26.89411625,32.199590625,14.076439375
142.8412,-11.4243,8.27999981492758,-20.059294375,28.7007275,16.457915625
143.2427,-11.0231,9.90999977849424,-11.373014375,14.891169375,6.54502375
143.3335,-11.0279,9.97999977692962,-13.867833125,17.462373125,8.28441125
143.3564,-11.0323,9.96999977715313,-12.340095625,16.657883125,8.9767825
143.4737,-11.0285,9.88999977894127,-15.735735625,19.6172825,8.9228275
143.3795,-11.0388,9.96999977715313,-15.62560875,18.537009375,7.8112275
143.371,-11.0588,9.72999978251755,-17.553545,21.1991525,9.22041875
143.4676,-11.0476,9.88999977894127,-12.3705375,17.181214375,9.4394825
143.4022,-11.0746,9.6999997831881,-14.43634,18.183533125,8.880345
143.3198,-11.0791,10.0199997760355,-11.18124875,15.802519375,8.738076875
143.0908,-11.07,9.77999978139997,-9.924905625,11.95582875,5.4611625
143.0285,-11.1166,9.65999978408217,-14.78177875,17.01649125,7.258798125
143.0006,-11.1292,9.65999978408217,-18.48606875,20.908296875,9.003144375
143.4941,-11.1067,9.759999781847,-13.31931625,17.013775,8.501244375
143.253,-11.1288,9.89999977871776,-14.0619625,16.853729375,6.93604625
143.4413,-11.1438,9.60999978519976,-13.796983125,17.159566875,8.099228125
143.2229,-11.1421,9.85999977961183,-16.12632,18.1121375,6.92274125
143.4215,-11.1607,9.64999978430569,-16.777225,21.157560625,9.849216875
143.3933,-11.184,9.79999978095293,-14.628525625,17.840966875,7.96272375
143.3937,-11.2045,9.89999977871776,-15.258030625,19.80940875,9.910885625
143.5458,-11.3682,10.0999997742474,-17.26548125,20.707965625,8.3864425
143.3355,-11.361,10.2699997704476,-18.58174375,22.067105,9.135383125
143.1607,-11.3773,9.89999977871776,-13.95596375,16.565294375,7.330375
143.0732,-11.3705,9.99999977648258,-21.165406875,23.68064125,9.919746875
143.0702,-11.3896,9.99999977648258,-17.7964375,20.110478125,7.884401875
143.0353,-11.3851,9.93999977782369,-20.484281875,22.13185875,6.9303975
143.1652,-11.434,9.84999977983534,-14.369333125,17.763325,8.60336875
143.042,-11.4539,9.37999979034066,-16.230570625,19.085021875,7.541385625
143.0328,-11.1833,10.049999775365,-17.153025,19.73938375,8.20569375
143.1976,-11.1844,10.0599997751415,-14.334981875,17.9377425,8.152933125
143.3181,-11.2154,10.0599997751415,-16.94415125,20.9951375,9.81791875
143.0007,-11.2432,9.9299997780472,-16.432085625,20.70981875,10.0024375
143.2571,-11.2414,9.94999977760017,-14.27107625,17.7676675,8.37924375
143.1497,-11.2714,10.1899997722358,-20.360723125,21.49568375,6.279799375
143.0342,-11.2886,9.80999978072941,-20.286879375,22.97173375,9.2808525
143.0462,-11.2874,9.80999978072941,-21.07875875,23.282558125,8.491468125
143.1963,-11.295,10.2499997708946,-21.53533875,22.838029375,6.867653125
143.2813,-11.2974,10.0099997762591,-19.214990625,22.02190375,9.090773125
143.3693,-11.2769,9.83999978005886,-17.75177625,21.36159375,9.058268125
143.4852,-11.2706,9.76999978162348,-15.618586875,19.33919125,8.8056925
143.1263,-11.3191,9.63999978452921,-15.608559375,17.43476,6.82588625
143.1278,-11.3416,9.63999978452921,-13.943140625,16.06659,6.754560625
143.4056,-11.3292,10.31999976933,-18.581750625,20.467305625,7.203810625
143.5428,-11.2543,9.56999978609383,-19.773305625,21.8941175,7.3023475
143.9955,-11.2826,4.72999989427626,-8.63932,23.05731,21.040586875
144.0058,-11.2824,4.91999989002943,-9.427415,20.073645625,17.2612125
143.9963,-11.2949,4.72999989427626,-8.81769,22.14903125,20.07799875
143.9792,-11.2953,4.72999989427626,-9.070404375,20.2515925,17.981035625
143.9808,-11.3093,5.01999988779426,-6.91936625,17.839996875,17.2367825
143.4012,-11.5046,10.4599997662008,-17.308076875,19.793985625,7.585141875
